JobId, User, Release, TagSet, Status, DataSet, Dir
427 yeshaq CMSSW_5_3_3_patch2 V17-5 Processing /SinglePhoton/Run2012C-24Aug2012-v1/AOD 2012_09_30_19_50_47
428 yeshaq CMSSW_5_3_3_patch2 V17-5 Processing /SingleMu/Run2012C-24Aug2012-v1/AOD 2012_09_30_19_53_49
429 yeshaq CMSSW_5_3_3_patch2 V17-5 Processing /SingleMu/Run2012C-24Aug2012-v1/AOD 2012_09_30_19_59_08
430 yeshaq CMSSW_5_3_3_patch2 V17-5 Processing /JetHT/Run2012C-PromptReco-v2/AOD 2012_09_30_20_04_59
431 yeshaq CMSSW_5_3_3_patch2 V17-5 Processing /HTMHT/Run2012C-PromptReco-v2/AOD 2012_09_30_20_10_18
432 yeshaq CMSSW_5_3_3_patch2 V17-5 Processing /SinglePhoton/Run2012C-PromptReco-v2/AOD 2012_09_30_20_15_17
433 yeshaq CMSSW_5_3_3_patch2 V17-5 Processing /SingleMu/Run2012C-PromptReco-v2/AOD 2012_09_30_20_19_37
434 yeshaq CMSSW_5_3_3_patch2 V17-5 Processing /HT/Run2012A-recover-06Aug2012-v1/AOD 2012_09_30_20_23_25
435 yeshaq CMSSW_5_3_3_patch2 V17-5 Processing /Photon/Run2012A-recover-06Aug2012-v1/AOD 2012_09_30_20_27_28
436 yeshaq CMSSW_5_3_3_patch2 V17-5 Processing /SingleMu/Run2012A-recover-06Aug2012-v1/AOD 2012_09_30_20_30_19
438 gouskos CMSSW_5_3_3_patch2 V17-5 Complete /TTTo2L2Nu2B_8TeV-powheg-pythia6/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM 2012_09_29_15_20_35
441 clucas CMSSW_5_3_3_patch2 V17-5 Processing /TTJets_matchingdown_TuneZ2star_8TeV-madgraph-tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM 2012_10_04_18_47_53
