JobId, User, Release, TagSet, Status, DataSet, Dir
368 zmeng CMSSW_5_3_3_patch2 V17-5 Processing /Tbar_s-channel_TuneZ2star_8TeV-powheg-tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM 2012_09_21_17_19_15
368 zmeng CMSSW_5_3_3_patch2 V17-5 Processing /Tbar_t-channel_TuneZ2star_8TeV-powheg-tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM 2012_09_21_17_19_15
368 zmeng CMSSW_5_3_3_patch2 V17-5 Processing /Tbar_tW-channel-DR_TuneZ2star_8TeV-powheg-tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM 2012_09_21_17_19_15
369 zmeng CMSSW_5_3_3_patch2 V17-5 Processing /GJets_HT-200To400_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM 2012_09_21_17_32_00
369 zmeng CMSSW_5_3_3_patch2 V17-5 Processing /GJets_HT-400ToInf_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM 2012_09_21_17_32_00
370 zmeng CMSSW_5_3_3_patch2 V17-5 Processing /WW_TuneZ2star_8TeV_pythia6_tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM 2012_09_21_17_43_41
370 zmeng CMSSW_5_3_3_patch2 V17-5 Processing /WZ_TuneZ2star_8TeV_pythia6_tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM 2012_09_21_17_43_41
370 zmeng CMSSW_5_3_3_patch2 V17-5 Processing /ZZ_TuneZ2star_8TeV_pythia6_tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM 2012_09_21_17_43_41
372 gouskos CMSSW_5_3_3_patch2 V17-5 Processing /MuHad/Run2012A-13Jul2012-v1/AOD 2012_09_21_01_08_41
373 georgia CMSSW_5_3_3_patch2 V17-5 Processing /ElectronHad/Run2012A-13Jul2012-v1/AOD 2012_09_22_18_28_43
374 karage CMSSW_5_3_3_patch2 V17-5 Complete /DoubleElectron/Run2012A-13Jul2012-v1/AOD 2013_02_06_22_56_08
380 georgia CMSSW_5_3_3_patch2 V17-5 Processing /ElectronHad/Run2012B-13Jul2012-v1/AOD 2012_09_22_18_18_13
381 gouskos CMSSW_5_3_3_patch2 V17-5 Processing /MuHad/Run2012B-13Jul2012-v1/AOD 2012_09_21_10_07_05
382 karage CMSSW_5_3_3_patch2 V17-5 Complete /DoubleElectron/Run2012B-13Jul2012-v1/AOD 2013_02_06_23_16_56
386 georgia CMSSW_5_3_3_patch2 V17-5 Processing /ElectronHad/Run2012A-recover-06Aug2012-v1/AOD 2012_09_23_12_13_38
387 gouskos CMSSW_5_3_3_patch2 V17-5 Processing /MuHad/Run2012A-recover-06Aug2012-v1/AOD 2012_09_21_00_54_04
388 karage CMSSW_5_3_3_patch2 V17-5 Complete /DoubleElectron/Run2012A-recover-06Aug2012-v1/AOD 2013_02_06_23_46_26
392 georgia CMSSW_5_3_3_patch2 V17-5 Processing /ElectronHad/Run2012C-PromptReco-v2/AOD 2012_09_22_18_05_03
393 gouskos CMSSW_5_3_3_patch2 V17-5 Processing /MuHad/Run2012C-PromptReco-v2/AOD 2012_09_21_10_17_30
398 georgia CMSSW_5_3_3_patch2 V17-5 Processing /ElectronHad/Run2012C-24Aug2012-v1/AOD 2012_09_23_11_57_06
399 gouskos CMSSW_5_3_3_patch2 V17-5 Processing /MuHad/Run2012C-24Aug2012-v1/AOD 2012_09_21_00_36_25
404 zmeng CMSSW_5_3_3_patch2 V17-5 Processing /TT_CT10_TuneZ2star_8TeV-powheg-tauola/Summer12_DR53X-PU_S10_START53_V7A-v2/AODSIM 2012_09_21_17_07_53
405 agapitos CMSSW_5_3_3_patch2 V17-5 Processing  /QCD_Pt-1000to1400_TuneZ2star_8TeV_pythia6/Summer12-PU_S7_START52_V9-v1/AODSIM  2012_09_25_16_30_11
405 agapitos CMSSW_5_3_3_patch2 V17-5 Processing  /QCD_Pt-120to170_TuneZ2star_8TeV_pythia6/Summer12-PU_S7_START52_V9-v1/AODSIM  2012_09_25_16_30_11
405 agapitos CMSSW_5_3_3_patch2 V17-5 Processing  /QCD_Pt-1400to1800_TuneZ2star_8TeV_pythia6/Summer12-PU_S7_START52_V9-v1/AODSIM  2012_09_25_16_30_11
405 agapitos CMSSW_5_3_3_patch2 V17-5 Processing  /QCD_Pt-15to30_TuneZ2star_8TeV_pythia6/Summer12-PU_S7_START52_V9-v1/AODSIM  2012_09_25_16_30_11
405 agapitos CMSSW_5_3_3_patch2 V17-5 Processing  /QCD_Pt-170to300_TuneZ2star_8TeV_pythia6/Summer12-PU_S7_START52_V9-v1/AODSIM  2012_09_25_16_30_11
405 agapitos CMSSW_5_3_3_patch2 V17-5 Processing  /QCD_Pt-1800_TuneZ2star_8TeV_pythia6/Summer12-PU_S7_START52_V9-v1/AODSIM 2012_09_25_16_30_11
405 agapitos CMSSW_5_3_3_patch2 V17-5 Processing  /QCD_Pt-300to470_TuneZ2star_8TeV_pythia6/Summer12-PU_S7_START52_V9-v1/AODSIM  2012_09_25_16_30_11
405 agapitos CMSSW_5_3_3_patch2 V17-5 Processing  /QCD_Pt-30to50_TuneZ2star_8TeV_pythia6/Summer12-PU_S7_START52_V9-v1/AODSIM  2012_09_25_16_30_11
405 agapitos CMSSW_5_3_3_patch2 V17-5 Processing  /QCD_Pt-470to600_TuneZ2star_8TeV_pythia6/Summer12-PU_S7_START52_V9-v1/AODSIM  2012_09_25_16_30_11
405 agapitos CMSSW_5_3_3_patch2 V17-5 Processing  /QCD_Pt-50to80_TuneZ2star_8TeV_pythia6/Summer12-PU_S7_START52_V9-v1/AODSIM  2012_09_25_16_30_11
405 agapitos CMSSW_5_3_3_patch2 V17-5 Processing  /QCD_Pt-600to800_TuneZ2star_8TeV_pythia6/Summer12-PU_S7_START52_V9-v1/AODSIM  2012_09_25_16_30_11
405 agapitos CMSSW_5_3_3_patch2 V17-5 Processing  /QCD_Pt-800to1000_TuneZ2star_8TeV_pythia6/Summer12-PU_S7_START52_V9-v1/AODSIM  2012_09_25_16_30_11
405 agapitos CMSSW_5_3_3_patch2 V17-5 Processing  /QCD_Pt-80to120_TuneZ2star_8TeV_pythia6/Summer12-PU_S7_START52_V9-v1/AODSIM  2012_09_25_16_30_11
405 agapitos CMSSW_5_3_3_patch2 V17-5 Processing /QCD_Pt-0to5_TuneZ2star_8TeV_pythia6/Summer12-PU_S7_START52_V9-v1/AODSIM 2012_09_25_16_30_11
405 agapitos CMSSW_5_3_3_patch2 V17-5 Processing /QCD_Pt-5to15_TuneZ2star_8TeV_pythia6/Summer12-PU_S7_START52_V9-v1/AODSIM 2012_09_25_16_30_11
407 clucas CMSSW_5_3_3_patch2 V17-5 Processing /ZJetsToNuNu_50_HT_100_TuneZ2Star_8TeV_madgraph/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM 2012_09_23_19_53_51
410 clucas CMSSW_5_3_3_patch2 V17-5 Processing /TT_CT10_TuneZ2star_8TeV-powheg-tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM 2012_09_26_14_02_42
442 nsaoulid CMSSW_5_3_3_patch2 V17-8 Processing /SMS-T1tttt_Mgluino-350to2000_mLSP-0to1650_8TeV-Pythia6Z/Summer12-START52_V9_FSIM-v3/AODSIM 2013_07_01_16_22_11
